Total Revenue,Total Cost
715709.61,496259.19
1032966.6,659668.8
343348.2,230032.44
4073773.92,3063483.84
62823.8,42089.96
1220925.5,720620.25
1237825.26,1070000.46
86599.7,49303.31
4221143.22,3402790.72
1084429.44,677216.16
2266631.12,1415490.18
392130.6,250420.8
6213845.82,5009168.32
268299.28,167550.42
31384.32,21761.28
2005479.68,1252403.52
1196762.6,681345.98
2437848.96,1833265.92
1796688.39,1448364.64
75540.4,50609.68
415663.94,312579.88
3214294.4,1936002.16
144140.32,47272.96
993464.48,325821.44
1427365.9,842466.45
4993981.71,3755481.42
150260,49280
618961.92,202997.76
1087971.72,642147.66
6073184.46,4895776.96
900576.48,295357.44
1362556.8,775736.64
1422655.92,908530.56
5494515.94,4131883.88
342968.6,229778.12
1498318.8,853029.24
596340.8,359182.12
6331189.98,4761063.96
1539476.61,1330753.81
451026.48,288032.64
3583955.55,3098041.55
3541344.66,3061207.86
230151.68,159582.72
731728.69,507366.51
1538827.84,960983.76
24192.08,16774.32
3514.39,2436.81
392274.49,294990.98
2367977.28,1478779.92
23297.95,15608.89
52388.93,36325.47
1386361.2,835019.43
290386.69,201348.51
654873.36,418212.48
1514203.92,966994.56
310739.02,183405.81
1064262.32,664621.98
573009.03,397313.37
1351313.67,1168102.07
1587649.98,1279852.48
526259.47,364898.13
610231.66,360173.73
274782.95,184095.89
6512291.15,4897252.3
3694314.33,2978098.08
70097.3,41373.15
27999.33,20766.92
4045411.6,2436592.49
785286.08,257546.24
197141.12,64655.36
15736.32,5160.96
966418.38,570403.89
959575.62,612800.16
507023.34,323793.12
1069491.15,924489.15
2674352.4,1610789.61
393597.75,263698.05
49130.76,31375.68
260215.8,174336.36
843164.3,480033.89
3723195.2,2242518.28
385009.3,257944.06
885538.5,504158.55
2418153.2,1456478.23
247519.2,81177.6
310122.78,183042.09
40212.3,29825.2
625518.72,205148.16
1239129.12,773824.68
1129259.8,666516.9
66364.76,46016.04
474167.85,317677.47
328297.2,186907.56
1928848.9,1098140.47
5940337.62,4788685.12
931261.44,581564.16
72811.32,54003.68
379092.32,124328.96
216134.75,144803.45
875711.6,527449.99
718324.97,498072.63
3285215.32,2470486.64
22587.93,16753.32
30321.83,21024.57
4161944.85,3597666.85
2305688.96,1439881.44
877955.52,287938.56
332068.99,230250.21
1304755.1,742828.73
53571.05,35890.91
2829194.34,2445611.14
1293025.58,763175.49
289079.01,200441.79
712396.32,233640.96
572175,365400
2213788.16,1382490.24
63052.14,46765.36
344159.05,258808.1
212433.65,142323.83
10106.85,6771.27
203359.2,120027.6
1286249.4,821419.2
199384.9,133581.58
77709.57,57636.68
120285.75,80587.65
455644.75,315935.25
3600342,2168522.55
3642750.4,2194065.56
880452.9,519664.95
1854353.92,1158026.88
288376.2,184161.6
262635.75,175957.65
674585.44,221240.32
1357114.54,801002.37
98530.3,56095.69
3508417.5,2638335
3890247.69,3362806.49
262066.35,175576.17
86908.95,64459.8
304891.2,99993.6
14139.29,9803.91
414559.86,264744.48
2415337.89,1947076.64
534126.02,315254.31
2825600.19,2277801.44
3715153.05,2994896.8
425911.2,285347.04
1733492.38,1303588.76
1446688.1,823634.63
1070834.72,351196.16
20213.7,13542.54
260168.35,174304.57
169301.6,113426.72
135969.2,81895.63
275675.29,191147.91
1147284.82,677155.71
1903753.5,1083853.05
389689.32,248861.76
29193.57,21652.68
781042.9,444666.67
1028106.24,337182.72
469970.48,293492.22
1029939.9,586369.77
6413116.08,5169806.08
87132.87,64625.88
531436.14,339383.52
40286.94,29880.56
74456.03,51626.37
2913657.2,2191074.4
1867146.38,1404096.76
1627920.56,1016621.34
251125.44,82360.32
6370787.43,5135683.68
415678.78,288223.62
4339745.38,3263494.76
86983.59,64515.16
388982.58,336244.18
865433.76,552679.68
93141.39,69082.36
1500992.9,854551.67
28820.37,21375.88
6591147.01,4956552.02
942603.2,567739.48
1025126.18,770896.36
243670.26,155611.68
27738.09,20573.16
680402.25,471777.75
3211234,1934158.85
741260.73,640760.33
14899.3,9982.06
310900.92,215572.68
6713.52,4287.36
3747226.98,3239176.58
1098423.42,701470.56
319073.92,221239.68
540061.76,177121.28
2114994.8,1320794.7
3908130.8,2353906.87
2632315.53,1979505.06
68603.49,50882.76
49253.07,36530.68
370745.6,223303.84
4030984,2427902.6
211517.24,146661.96
2183280.75,1887270.75
2102741.36,1313142.54
2212232,1332449.8
909376.8,580742.4
501530.46,320285.28
1638897.6,1023476.4
321283.95,215250.09
428594.92,252967.26
402683.71,279213.09
109382.6,64560.3
1056409.76,346465.28
78054.78,57892.72
1380298.96,861983.94
2805512.4,1689788.61
989967.52,324674.56
380786.25,255114.75
363.87,269.88
1351248.48,862928.64
2435.13,1806.12
1089512.32,643056.96
1745358.93,1508722.53
2173738.98,1752316.48
5589986.64,4506256.64
38814.1,26004.22
619774.1,352852.43
48292.08,35817.92
6082952.61,4903651.36
500065.28,164003.84
407080.3,231760.69
4084738.98,3530928.58
3309305.16,2860628.36
1599277.6,963261.14
968730.42,618646.56
334156.14,197227.17
446362.15,299048.53
31516.74,23375.76
604568.37,522600.77
2029476,1267389
443230.45,296950.39
5892148.08,4749838.08
392082.7,231416.85
356579.46,227717.28
1977410.93,1487015.86
3996254.6,3005189.2
2108606.22,1822720.62
30462.9,20409.18
858730.44,506843.82
1461567.22,862652.91
38280.99,28392.76
3450216.42,2982434.82
23306.34,17286.16
3261825.87,2452897.74
789448.92,504154.56
39365.64,25139.52
3815573.16,3298256.36
1140382.92,728266.56
2293561.62,1848909.12
451305.8,256939.34
341234.04,275079.04
658622.4,411303.6
41621.13,30870.12
759925.54,526917.66
20992.5,15570
2324613.9,2009441.9
1393502.67,1204571.07
4482278.43,3613299.68
1961349.5,1116643.85
665742.42,575480.82
2261330.4,1954738.4
39823.38,25431.84
3362942.4,2025534.36
2664734,1604996.35
915886.7,540578.85
976046.5,555686.95
310195.14,198095.52
667537.5,426300
57002.2,33644.1
3678034.08,2964974.08
3441201.2,2072670.43
1155438.83,868891.66
322670.04,223733.16
2114228.96,1320316.44
218117.13,188544.73
529605.18,338214.24
1297210.32,1045720.32
1637166.3,932078.49
250820.7,168041.94
401457.76,278363.04
2018534.1,1149200.43
1524731.94,973717.92
818288.64,268369.92
280986.2,159972.26
1820367.48,1368918.96
4089801.66,3535304.86
1065456.4,641735.21
5442390.88,4092685.76
2547793.71,2202362.91
22177.41,16448.84
3545838.45,2858407.2
235836.51,203861.71
553940.32,181672.96
2183507.13,1760190.88
199326.72,65372.16
598723.92,382354.56
3425552.02,2576020.04
3469182,2089523.55
64265.04,47664.96
541811.58,346009.44
992444.04,800039.04
156926.08,51466.24
916348.88,540851.64
3176287.31,2388572.62
89334.75,66259
85528.11,63435.64
1102043.76,688216.14
310573.76,101857.28
707289.46,417459.63
1325119.4,754422.62
4883717.16,3672562.32
644046.7,366671.41
481202.8,300506.7
79986.09,59325.16
151731.93,122315.68
237920.96,148579.44
4408040.49,3553454.24
381675.6,229887.09
3545985.45,3065219.45
1041164.66,782957.32
497879.68,163287.04
2208937.84,1379461.26
3119859.2,1879122.88
49453.26,29188.53
85965.48,50738.94
1102695.66,704198.88
142046.74,98492.46
23642.22,17535.28
821.04,608.96
392064.2,223211.66
1547686.8,881135.64
286790.57,198855.03
924399.52,303170.56
1221402.9,780007.2
1071708.96,351482.88
699445.34,484981.86
429330.4,258590.06
128486.04,75835.62
594909.42,379918.56
1950373.95,1572255.2
242819.83,168366.57
870621.48,555992.64
3416196.24,2568984.48
1388379.72,1119214.72
90846.21,67380.04
648527.55,449676.45
1349565.6,796546.8
855385.6,643251.2
4294078.74,3461586.24
1892540.64,1423193.28
31677.8,18034.94
3747062.34,3020619.84
1364047.24,805094.22
3718409.1,2997521.6
2014617.6,1213424.64
220561.92,137738.88
799638.8,481630.57
386921.7,220283.91
812168.96,266362.88
812138.25,702028.25
171142.4,97435.52
727695.52,238658.56
810663.7,461530.51
1856788.4,1118362.51
765171.75,616828
585194.4,191923.2
3985594.83,3445226.43
29342.85,21763.4
1258824.26,742989.03
30611.73,22704.52
2364403.36,1476548.04
186431.05,124902.91
1467052.4,835228.52
3745759.92,3019569.92
412720.1,276509.42
807075.57,697651.97
514499.76,328567.68
5398285.06,4059518.12
1294358.52,1118868.92
495737,282235.1
240525.28,78883.84
1422675.44,888447.66
364653.25,244306.15
186609.68,116536.02
3905944.8,2352590.22
387725.44,127160.32
5119161.81,4126710.56
1425498.69,1149137.44
1368206.86,807549.33
1505106.9,856893.87
3894577.6,2345743.64
884703.33,764754.93
1133419.42,668972.01
20451.36,15168.64
2590404.6,2239196.6
2433039.63,2103167.23
6299154.33,5077938.08
2270118.06,1830010.56
2053760.52,1775310.92
930191.36,305070.08
174093.78,111179.04
308899.5,206952.9
264391.26,213133.76
52658.52,39056.48
1079503.5,689388
1003671.24,640960.32
659070.72,456986.88
1612395.96,1299800.96
1862468.49,1400578.98
3797853.78,3282939.38
805918.96,503288.94
2813227.2,2267827.2
2337192.69,1884081.44
1870635.8,1064998.34
205082.9,116758.67
999695.34,590044.77
738563.64,435918.42
236919.04,77701.12
1760410.88,1099360.32
351030.35,243397.65
187415.2,61465.6
539370.3,344450.4
292576.7,196017.14
470037.06,277427.43
1055972.64,346321.92
3589018.23,3102417.83
1801264,1084919.6
5391602.36,4054492.72
2640334.77,1985535.54
113785.1,76232.42
926313.18,591558.24
1189860.08,743056.62
6611195.11,4971628.22
80265.26,47374.53
3205113.2,1930472.23
5301500.61,4273699.36
714528.72,446216.58
1683860.2,958662.46
2091686.52,1686171.52
1670104,1005920.6
872491.52,286146.56
309537.6,186437.64
1377492.24,879688.32
4566284.52,3681019.52
116931.54,69015.87
867441.44,541709.16
7355.7,5100.3
1277482.92,1104281.32
982004.88,627123.84
1048515.63,788485.26
81186.95,54392.69
586984.86,407003.94
138801.81,119983.01
347094.93,279803.68
2349597.12,1467301.68
227048.25,152115.15
633407.5,439192.5
457933.19,317522.01
1621121.7,922943.91
769178.77,578423.54
37422.63,27756.12
19518.36,14476.64
1989446.55,1603752.8
406150.48,253637.22
483564,158592
3549850.24,2669492.48
16176.4,9743.21
13239.27,9819.48
663228.3,391453.65
146786,91666.5
2767306.07,2081018.14
3973533.42,2988102.84
3918186.4,2359963.46
2134454.38,1605112.76
32266,21617.2
74719.1,44101.05
1564790.01,1352635.21
5668266.14,4262544.28
764753.84,451376.52
147239.61,127276.81
315477.8,218746.2
269759.06,159218.43
474755.6,270289.88
553528.5,446216
1993430.25,1723160.25
1268397.54,810018.72
1236177.44,729622.32
1124792.06,663879.93
1081929.13,813612.26
2266862.01,1827385.76
1143741.44,675064.32
3265818.15,2632674.4
2026556.4,1153767.72
395472.02,233417.31
896629.2,529212.6
441379.9,295710.58
2071890.8,1247920.87
591418.95,444747.9
3596612.25,3108982.25
1398423.84,873302.76
327268.7,186322.01
571412.1,364912.8
175256.4,99777.72
420027.4,281405.08
271461.45,181870.59
306621.9,205426.98
1249888.78,737715.09
224865.55,150652.81
502113.7,285865.51
1900945.6,1144958.84
3659800.2,2950275.2
78847.83,58480.92
577340.72,400316.88
296585.92,97269.76
709988.51,492292.29
1352984,844926
232599.9,155834.58
1754794.72,1095853.08
670110,418477.5
252712.11,218449.31
323695.04,202144.56
439992.3,250498.29
130345.15,87327.13
458319.55,307059.61
13761.75,10207
1671415.6,1006710.59
356833.18,247421.22
3288632.55,2842758.55
39573.3,26512.86
591561.74,410177.46
1221536.8,735744.02
134161.02,115971.42
1189349.52,742737.78
5012363.37,4040617.12
158625.35,106273.97
522478,297459.4
391984.45,262617.19
24294.4,16276.48
272963.9,155404.97
6365577.75,5131484
1061041.32,677597.76
647953.95,522335.2
224788.96,73722.88
801459.52,262850.56
1544444,964491
1138038.24,710694.36
130334.76,76926.78
345792.51,278753.76
363247.29,313998.09
1586820.48,990954.72
142682.15,95592.53
1973179.53,1705655.13
4477409,3367018
666164.31,575845.51
420946.56,138055.68
783549.16,462469.98
970297.12,318223.36
894271.38,571095.84
1788355.8,1018154.34
1804574.32,1126939.98
128636.95,86182.69
1912312.8,1151805.42
585010.8,333060.84
906172.62,578696.16
540442.48,318982.44
265550.4,87091.2
412532.48,257622.72
332577.05,222816.11
61419.39,45554.36
815082.36,520524.48
66235.4,37709.42
3736965.84,2810203.68
1850524.72,1155635.58
3553579.47,3071783.87
2783922.75,2244204
3059962.8,1843046.67
66773.41,46299.39
1436608.8,817896.24
5722182.27,4612823.52
534759.39,370791.81
1693146,1364896
692725.92,227189.76
4009561.2,2414999.43
1469270.22,867199.41
5287352.24,3976096.48
196704,64512
35018.1,23461.02
842014.53,678773.28
870780.96,752720.16
1337240.8,789272.4
417654.9,279815.58
66466.92,49298.08
160889.6,96905.44
1530338.3,1150816.6
1336624.56,788908.68
111127.9,74452.18
386148.1,258707.02
376942.8,252539.76
3692360.7,2976523.2
1510290.2,1135740.4
32550.7,21807.94
621254.34,500811.84
785551.94,463652.07
1463511.3,1100562.6
512095.44,302251.32
4318824.72,3481534.72
1481502.75,1194284
69452.52,51512.48
111561.45,77354.55
13807.95,9250.89
274183.52,89922.56
272651.28,189051.12
80860.67,60807.34
1116010.64,658696.92
745121.05,560332.1
245696.1,164608.62
232742.25,155929.95
427681.74,273124.32
524728.36,309707.58
5393321.22,4347718.72
84181.9,58370.1
186344.4,129207.6
1197773.76,747998.64
74266.8,55083.2
416028.96,136442.88
46880.6,31408.52
43943.04,28062.72
1041001.28,341411.84
934344,306432
201140.55,134757.81
1132584.2,644807.66
3624825.2,2183269.03
86970.6,55540.8
348615.15,233561.13
268424.65,179836.03
4037065.41,3489718.61
1065731.7,606746.91
1156651.1,658509.53
4046374.85,3042879.7
80900.43,60003.32
1174103.1,749800.8
357977.4,248214.6
1310885.73,1056744.48
593252.31,478238.56
1496535.6,901378.59
975870.4,320051.2
3729929.49,3224224.29
246496,145488
3240115.2,2800819.2
3064686.22,2304648.44
381367.8,217121.94
2645934.4,1593673.16
274118.65,183650.83
4451346.47,3347418.94
4144300.44,3340845.44
1970194.6,1121679.58
2022853.29,1521188.58
22159.15,14845.93
5133650.14,3860512.28
3160377.99,2731892.79
225055.35,150779.97
879443.32,661342.64
286424.16,178869.24
3323775.84,2679395.84
1591926.08,994143.12
1976581.2,1190514.93
304549.68,194490.24
3379556,2035540.9
579868.3,330133.09
2276096.55,1967502.55
2455752.4,1479124.61
32266,21617.2
1510558.3,891568.65
2361084.72,1474475.58
4751879.37,3830633.12
2365679.76,1477345.14
639986.96,399665.94
66287.65,44410.63
1569766.23,1180466.46
3714319.56,3210730.76
960718.16,567039.48
1101683.06,650240.43
1251478.8,712497.24
3076046.81,2313191.62
515389.38,357361.02
148993.79,103309.41
784951.2,446891.76
216046.56,70855.68
1225064.82,782345.76
110925.66,70838.88
93652.96,30714.88
295993.1,198306.02
4374177.57,3526156.32
85593.42,63484.08
388231.2,229143.6
1138259.22,983933.62
3240958.98,2801548.58
1082507.2,652005.08
1050987.76,656332.14
545220.83,378045.57
961026.28,567221.34
649997.44,213176.32
245068.8,153043.2
1463536.41,1265109.61
3365128.4,2026851.01
45717,33908
5588742.01,4202742.02
1294720.24,764175.72
3223038.4,1941268.76
708886.68,452706.24
336730.9,191709.07
2864211.21,2475880.41
242164.86,209332.06
54312.16,17812.48
3969124.95,3199631.2
1004526.8,627317.7
1103664.24,954029.04
72466.11,53747.64
1450185,825625.5
2254640.4,1357992.81
1357422.66,801184.23
1151339.28,928129.28
4290680.8,2584320.62
53787.45,39893.8
1955158.4,1177611.76
5221193.51,3926345.02
1479873.42,945070.56
699399.54,563807.04
756434.6,446466.3
309654.64,193376.46
851795.91,736309.11
975749.1,623128.8
1388467.92,867085.38
1111087.56,709558.08
911562,549043.05
1074163.2,685977.6
211216.26,124665.03
205207.92,121118.76
2277812,1371949.3
680157.06,471607.74
655229.41,454323.39
709007.75,491612.25
732940.96,240378.88
51828.15,38440.6
176653.76,110318.64
1180414.72,737158.08
388361.6,221103.68
1770222.8,1066223.17
514380.96,168698.88
3001868.84,2257409.68
934373.9,551490.45
5937732.78,4786585.28
1105637.5,629466.25
547914.78,349907.04
694544.16,443546.88
935760.44,552308.82
74714.64,55415.36
1103611.14,704783.52
290684.8,95334.4
47516.7,27052.41
5156931.99,4157158.24
488505.37,367356.74
53199.66,39457.84
1052649.42,672238.56
64236.18,41022.24
6280401.46,4722870.92
734834.43,509519.97
66050.4,44251.68
90156,29568
3735874,2250154.85
1612276.6,917908.18
3806291.58,3290233.18
41471.85,30759.4
1524079.2,917968.38
825938.24,270878.72
778463.16,497138.88
720373.76,236257.28
2433584.24,1519750.86
883524.08,551752.62
1016980.8,578991.84
24071.4,17853.6
94805.1,63516.42
40854.45,27371.19
2514321.81,2026870.56
3375184,2032907.6
1274311.5,725496.45
773580.6,494020.8
3132538,1886759.45
598753.98,415164.42
812496.8,266470.4
66477.45,44537.79
70877.52,61267.92
1023811.8,653822.4
211871,120623.3
795873.96,469744.38
5469121.68,4112787.36
302251.52,188753.28
353567.7,208684.35
258358.62,152489.61
309611.25,207429.75
3946983.81,3181782.56
714691.2,234393.6
2731625.6,1645285.84
77492.18,45737.79
62072.49,46038.76
3829917.42,3310655.82
861883,490690.9
2373996,1429881.9
904073.44,296504.32
796925.34,508929.12
7613.28,5646.72
723433.6,237260.8
1282128.1,729946.63
73010.08,45594.12
219562.62,140216.16
87562.05,64944.2
477875.31,331349.49
4188376,2522701.4
599401.2,361025.43
1378712.88,880467.84
22625.25,16781
3551048.13,3069595.73
912651.44,538669.32
135491.04,86526.72
540862.98,467532.58
325220.66,191953.23
275327.24,207046.48
38669.06,22823.43
3260365.92,2818324.32
911360.34,582009.12
95076.66,76644.16
199339.47,138218.13
2986137.42,2581275.82
2324155.2,1399862.28
293370.53,220615.06
131199.25,87899.35
379472.39,263118.81
3643408.04,2739848.08
4412586.81,3318271.62
1007552.4,594682.2
1179689.5,671625.85
714681.66,617784.86
431874.56,141639.68
1398556.68,825462.54
52882.44,39222.56
1427385.9,911551.2
1990673.44,1243157.16
269990.5,180885.1
91004.82,67497.68
956278.88,597187.32
377234.56,123719.68
260207.34,153580.77
30835.65,22870.6
37231.7,21196.91
1281099.6,729361.08
113310.6,75914.52
689368.26,595903.46
612080.38,361264.89
221538.28,130757.34
338658.72,111068.16
8319.24,4910.22
88862.4,50591.52
480285.6,157516.8
1879069.5,1069799.85
423569.28,138915.84
3173346.33,2558130.08
267647.31,215758.56
54188.64,40191.36
3678600.8,2215658.62
1741511.62,1309619.24
392140.54,271902.66
1298879.86,766630.83
981225.12,321807.36
424487.7,284393.34
234565.1,162642.9
189286.68,131247.72
591418.95,444747.9
3883497.45,3356971.45
4192742.82,3624289.22
427670.56,252421.68
4128479.6,2486625.19
710560.62,492688.98
878775.05,660840.1
418702.79,290320.41
4204977.63,3634865.23
1775849.67,1431565.92
1011680.8,609345.62
510337.6,167372.8
1185394.02,757011.36
2892515.2,1742191.28
1270378.76,749808.78
319291.05,213914.91
5314524.81,4284198.56
1166936.1,664365.03
681869.56,402456.18
4305800.52,3471035.52
4204211.76,3389141.76
3393455.31,2735566.56
4014058.44,3235853.44
6273105.93,5056939.68
1638606.2,932898.26
352955.82,284528.32
1338736.92,854938.56
226887.1,129172.33
5348833.08,4022330.16
3051656,1838043.4
5057467.36,3803222.72
692398.08,227082.24
1225577.22,987974.72
466718.2,312686.44
73324.47,54384.28
271697.16,234860.36
3199394.73,2579128.48
1129103.44,705114.66
756644.22,483204.96
6240305.26,4692718.52
615224.8,384202.2
494711.69,343023.51
1763500.2,1524404.2
5035806.93,4059515.68
6306317.64,5083712.64
6103.2,3897.6
68326.28,47376.12
290763.92,181579.38
223914.72,73436.16
432699.6,270216.9
2220.54,1646.96
398025.1,275982.9
741952.96,437918.88
59058.9,43803.6
841346.72,275932.16
2760479.19,2225305.44
508243.94,299978.07
439387,294375.4
1314285.86,775723.83
3045306.39,2290074.78
133334.5,89329.9
2533574,1525997.35
1655473.6,942501.28
759822.99,571387.98
5640129.81,4546678.56
545625.6,328635.84
240641.72,142032.66
3920201.88,3388699.48
1573801.2,982824.3
8704.89,6456.36
675399.04,398637.12
1828893.15,1580931.15
30083.3,20154.86
67924.29,58715.09
799201.6,481367.24
74828.65,50132.83
68864.73,51076.52
39605.85,29375.4
4024863.2,2424215.98
691851.68,226903.04
1118778.78,901881.28
694541.54,481581.66
772480.59,667747.39
1649589.9,1425937.9
3779290.62,3266893.02
390560.95,261663.49
3265818.15,2632674.4
4208487.2,2534814.58
673488.12,430100.16
81712.14,60605.36
837199,476637.7
2244421.76,1401620.64
1433160.33,1238851.93
1376214.48,859433.22
657467.22,419868.96
1035283.2,611049.6
133430.88,43760.64
32113.86,23818.64
114197.6,37452.8
1343711.32,793091.46
487798.26,311515.68
76739.25,56917
1972663,1123084.9
48966.4,29492.96
1184243.92,739549.38
47116.5,34946
1081364.9,615647.27
2711514.4,1633172.66
362403.51,313268.71
6011970.72,4846430.72
857230.24,535332.36
1500387.84,1209507.84
4668524.49,3763438.24
1552612.96,969592.44
2349852.4,1467461.1
1630756,982220.9
2267396.96,1415968.44
8518.29,6317.96
1249734.72,737624.16
3871956.38,2911716.76
107066.3,74237.7
5885635.98,4744588.48
2356508,1419348.7
1664857.6,1002760.64
1504549.96,888022.38
471418.64,326872.56
969188.16,618938.88
470404.14,300407.52
1473121.72,869472.66
1319976.9,751494.87
4109135.1,3312497.6
423918.3,284011.86
1534488.08,958273.62
1295292.9,737441.67
252701.6,152204.74
4458029.17,3352444.34
1867285.14,1614117.94
78790.88,25840.64
688186.02,406184.31
703454.8,423697.97
5599.1,3751.22
3256050,2624800
1438825.2,866619.03
989858.24,324638.72
5614136.27,4221838.54
41499.84,30780.16
360241.38,230055.84
2894945.64,2177003.28
699731.88,446859.84
1846190.64,1595883.44
571292.7,396123.3
564440.8,321349.84
2664392.49,2003626.98
15251.94,9002.07
203589.43,141164.97
4199306,2529284.65
1247067.15,1005298.4
